gene1492	K02274
gene1493	K02275
gene1494	K02276
gene1495	K02277
gene1496	K02278
gene1497	K02279
gene1498	K02280
gene1499	K02282
gene1500	K02283
gene1501	K02288
gene1502	K02291
gene1503	K02293
gene1504	K02297
gene1505	K02298
gene1506	K02299
gene1507	K02300
gene1508	K02301
gene1509	K02302
gene1510	K02303
gene1511	K02304
gene1512	K02305
gene1513	K02312
gene1514	K02313
gene1515	K02314
gene1516	K02315
gene1517	K02316
gene1518	K02317
gene1519	K02319
gene1520	K02320
gene1521	K02331
gene1522	K02334
gene1523	K02335
gene1524	K02336
gene1525	K02337
gene1526	K02338
gene1527	K02339
gene1528	K02340
gene1529	K02341
gene1530	K02342
gene1531	K02343
gene1532	K02344
gene1533	K02345
gene1534	K02346
gene1535	K02347
gene1536	K02348
gene1537	K02349
gene1538	K02351
gene1539	K02352
gene1540	K02355
gene1541	K02356
gene1542	K02357
gene1543	K02358
gene1544	K02361
gene1545	K02362
gene1546	K02363
gene1547	K02364
gene1548	K02371
gene1549	K02372
gene1550	K02377
gene1551	K02379
gene1552	K02380
gene1553	K02381
gene1554	K02385
gene1555	K02386
gene1556	K02387
gene1557	K02388
gene1558	K02389
gene1559	K02390
gene1560	K02391
gene1561	K02392
gene1562	K02393
gene1563	K02394
gene1564	K02395
gene1565	K02396
gene1566	K02397
gene1567	K02398
gene1568	K02399
gene1569	K02400
gene1570	K02401
gene1571	K02402
gene1572	K02403
gene1573	K02404
gene1574	K02405
gene1575	K02406
gene1576	K02407
gene1577	K02408
gene1578	K02409
gene1579	K02410
gene1580	K02411
gene1581	K02412
gene1582	K02413
gene1583	K02414
gene1584	K02415
gene1585	K02416
gene1586	K02417
gene1587	K02418
gene1588	K02419
gene1589	K02420
gene1590	K02421
gene1591	K02422
gene1592	K02423
gene1593	K02424
gene1594	K02425
gene1595	K02426
gene1596	K02427
gene1597	K02428
gene1598	K02429
gene1599	K02430
gene1600	K02431
gene1601	K02433
gene1602	K02434
gene1603	K02435
gene1604	K02436
gene1605	K02437
gene1606	K02438
gene1607	K02439
gene1608	K02440
gene1609	K02441
gene1610	K02442
gene1611	K02443
gene1612	K02444
gene1613	K02445
gene1614	K02446
gene1615	K02448
gene1616	K02450
gene1617	K02451
gene1618	K02452
gene1619	K02453
gene1620	K02454
gene1621	K02455
gene1622	K02456
gene1623	K02457
gene1624	K02458
gene1625	K02459
gene1626	K02460
gene1627	K02461
gene1628	K02462
gene1629	K02464
gene1630	K02466
gene1631	K02467
gene1632	K02468
gene1633	K02469
gene1634	K02470
gene1635	K02471
gene1636	K02472
gene1637	K02473
gene1638	K02474
gene1639	K02475
gene1640	K02476
gene1641	K02477
gene1642	K02478
gene1643	K02479
gene1644	K02480
gene1645	K02481
gene1646	K02482
gene1647	K02483
gene1648	K02484
gene1649	K02485
gene1650	K02486
gene1651	K02487
gene1652	K02488
gene1653	K02489
gene1654	K02490
gene1655	K02491
gene1656	K02492
gene1657	K02493
gene1658	K02494
gene1659	K02495
gene1660	K02496
gene1661	K02497
gene1662	K02498
gene1663	K02499
gene1664	K02500
gene1665	K02501
gene1666	K02502
